stamp,mode,armed,system_status,is_armable,fix_type,sats,lat,lon,alt_msl,alt_rel,roll,pitch,yaw,vx,vy,vz,groundspeed,airspeed,heading,rngf_dist,batt_voltage,batt_current,batt_level,last_hb,ekf_ok
1757118023.1814997,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009096936555579305,-0.0011514113284647465,-0.11578625440597534,0.01,-0.01,0.0,0.020629653707146645,0.02062969282269478,353,,12.6,0.0,100,0.25298643699989043,True
1757118023.282453,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009123310446739197,-0.0011529913172125816,-0.11588006466627121,0.01,-0.01,0.0,0.020888397470116615,0.020888453349471092,353,,12.6,0.0,100,0.35038905800001885,True
1757118023.3845665,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009123310446739197,-0.0011529913172125816,-0.11588006466627121,0.01,-0.01,0.0,0.020888397470116615,0.020888453349471092,353,,12.6,0.0,100,0.4509827659999246,True
1757118023.4862316,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009191664285026491,-0.0011552394134923816,-0.1159672811627388,0.01,-0.01,0.0,0.02115623652935028,0.02115626260638237,353,,12.6,0.0,100,0.5543550269999287,True
1757118023.5878704,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009191664285026491,-0.0011552394134923816,-0.1159672811627388,0.01,-0.01,0.0,0.02115623652935028,0.02115626260638237,353,,12.6,0.0,100,0.654935789999854,True
1757118023.6891336,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009191664285026491,-0.0011552394134923816,-0.1159672811627388,0.01,-0.01,0.0,0.02115623652935028,0.02115626260638237,353,,12.6,0.0,100,0.7559511760000532,True
1757118023.790171,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009229070274159312,-0.001160258543677628,-0.11606022715568542,0.01,-0.01,0.0,0.0210966058075428,0.02109720930457115,353,,12.6,0.0,100,0.8539462149999508,True
1757118023.8911567,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009229070274159312,-0.001160258543677628,-0.11606022715568542,0.01,-0.01,0.0,0.0210966058075428,0.02109720930457115,353,,12.6,0.0,100,0.9545760329999666,True
1757118023.9921987,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009220229694619775,-0.0011575326789170504,-0.11615204811096191,0.01,-0.01,0.0,0.020978383719921112,0.020978951826691628,353,,12.6,0.0,100,0.060885439000003316,True
1757118024.0931418,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009220229694619775,-0.0011575326789170504,-0.11615204811096191,0.01,-0.01,0.0,0.020978383719921112,0.020978951826691628,353,,12.6,0.0,100,0.1613132070001484,True
1757118024.1937964,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009220229694619775,-0.0011575326789170504,-0.11615204811096191,0.01,-0.01,0.0,0.020978383719921112,0.020978951826691628,353,,12.6,0.0,100,0.26176425400012704,True
1757118024.2948732,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009207893162965775,-0.0011555482633411884,-0.1162482500076294,0.01,-0.01,0.0,0.020952628925442696,0.020953088998794556,353,,12.6,0.0,100,0.3575465690000783,True
1757118024.3958216,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009207893162965775,-0.0011555482633411884,-0.1162482500076294,0.01,-0.01,0.0,0.020952628925442696,0.020953088998794556,353,,12.6,0.0,100,0.4579686350000429,True
1757118024.4967513,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009250423172488809,-0.001156282494775951,-0.11634509265422821,0.01,-0.01,0.0,0.02119915559887886,0.02119971066713333,353,,12.6,0.0,100,0.5595037040000079,True
1757118024.5976691,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009250423172488809,-0.001156282494775951,-0.11634509265422821,0.01,-0.01,0.0,0.02119915559887886,0.02119971066713333,353,,12.6,0.0,100,0.6598543820000486,True
1757118024.6986012,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009250423172488809,-0.001156282494775951,-0.11634509265422821,0.01,-0.01,0.0,0.02119915559887886,0.02119971066713333,353,,12.6,0.0,100,0.7602720209999916,True
1757118024.7995865,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009304505656473339,-0.0011591622605919838,-0.11644171178340912,0.01,-0.01,0.0,0.021266436204314232,0.02126656286418438,353,,12.6,0.0,100,0.8578275530001065,True
1757118024.900545,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009304505656473339,-0.0011591622605919838,-0.11644171178340912,0.01,-0.01,0.0,0.021266436204314232,0.02126656286418438,353,,12.6,0.0,100,0.9584339860000455,True
1757118025.0014243,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009282309911213815,-0.001159688108600676,-0.1165362298488617,0.01,-0.01,0.0,0.02123217284679413,0.02123218961060047,353,,12.6,0.0,100,0.05936827699997593,True
1757118025.1021376,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009282309911213815,-0.001159688108600676,-0.1165362298488617,0.01,-0.01,0.0,0.02123217284679413,0.02123218961060047,353,,12.6,0.0,100,0.15972205100001702,True
1757118025.2028055,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009282309911213815,-0.001159688108600676,-0.1165362298488617,0.01,-0.01,0.0,0.02123217284679413,0.02123218961060047,353,,12.6,0.0,100,0.2600961030000235,True
1757118025.3035133,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.000929506029933691,-0.0011635757982730865,-0.1166323870420456,0.01,-0.01,0.0,0.021227167919278145,0.021227221935987473,353,,12.6,0.0,100,0.35919545100000505,True
1757118025.4041953,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.000929506029933691,-0.0011635757982730865,-0.1166323870420456,0.01,-0.01,0.0,0.021227167919278145,0.021227221935987473,353,,12.6,0.0,100,0.4595829289999074,True
1757118025.5048747,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009332047193311155,-0.0011679519666358829,-0.11672162264585495,0.01,-0.01,0.0,0.021470334380865097,0.02147034928202629,353,,12.6,0.0,100,0.5624016149999989,True
1757118025.6055748,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009332047193311155,-0.0011679519666358829,-0.11672162264585495,0.01,-0.01,0.0,0.021470334380865097,0.02147034928202629,353,,12.6,0.0,100,0.6627870929999062,True
1757118025.7062259,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0009332047193311155,-0.0011679519666358829,-0.11672162264585495,0.01,-0.01,0.0,0.021470334380865097,0.02147034928202629,353,,12.6,0.0,100,0.7632359780000115,True
